"Epoch","fiery-cherry-32 - _step","fiery-cherry-32 - _step__MIN","fiery-cherry-32 - _step__MAX","fiery-cherry-32 - Train accuracy","fiery-cherry-32 - Train accuracy__MIN","fiery-cherry-32 - Train accuracy__MAX"
"242","121507","121507","121507","0.99954","0.99954","0.99954"
"243","122009","122009","122009","0.9995","0.9995","0.9995"
"244","122511","122511","122511","0.9998","0.9998","0.9998"
"245","123013","123013","123013","0.9995799999999999","0.9995799999999999","0.9995799999999999"
"248","124519","124519","124519","0.99972","0.99972","0.99972"
"249","125021","125021","125021","0.99982","0.99982","0.99982"
"250","125523","125523","125523","0.9995599999999999","0.9995599999999999","0.9995599999999999"
"253","127030","127030","127030","0.9997","0.9997","0.9997"
"256","128536","128536","128536","0.9998800000000001","0.9998800000000001","0.9998800000000001"
"258","129540","129540","129540","0.9998400000000001","0.9998400000000001","0.9998400000000001"
"259","130042","130042","130042","0.9998600000000001","0.9998600000000001","0.9998600000000001"
"260","130544","130544","130544","0.9998400000000001","0.9998400000000001","0.9998400000000001"
"261","131046","131046","131046","0.9998600000000001","0.9998600000000001","0.9998600000000001"
"262","131549","131549","131549","0.9999600000000001","0.9999600000000001","0.9999600000000001"
"264","132553","132553","132553","0.99992","0.99992","0.99992"
"265","133055","133055","133055","0.99998","0.99998","0.99998"
"266","133557","133557","133557","0.99994","0.99994","0.99994"
"269","135063","135063","135063","0.9999000000000001","0.9999000000000001","0.9999000000000001"
"270","135565","135565","135565","0.99998","0.99998","0.99998"
"271","136067","136067","136067","0.99998","0.99998","0.99998"
"272","136570","136570","136570","0.9999000000000001","0.9999000000000001","0.9999000000000001"
"273","137072","137072","137072","0.9999600000000001","0.9999600000000001","0.9999600000000001"
"274","137574","137574","137574","0.9999600000000001","0.9999600000000001","0.9999600000000001"
"275","138076","138076","138076","0.99994","0.99994","0.99994"
"276","138578","138578","138578","1","1","1"
"277","139080","139080","139080","0.99998","0.99998","0.99998"
"278","139582","139582","139582","0.9999600000000001","0.9999600000000001","0.9999600000000001"
"279","140084","140084","140084","0.99992","0.99992","0.99992"
"281","141088","141088","141088","1","1","1"
"282","141591","141591","141591","0.9999600000000001","0.9999600000000001","0.9999600000000001"
"283","142093","142093","142093","0.9999600000000001","0.9999600000000001","0.9999600000000001"
"284","142595","142595","142595","0.99992","0.99992","0.99992"
"286","143599","143599","143599","0.99998","0.99998","0.99998"
"289","145105","145105","145105","0.9999600000000001","0.9999600000000001","0.9999600000000001"
"291","146109","146109","146109","1","1","1"
"292","146612","146612","146612","0.9999000000000001","0.9999000000000001","0.9999000000000001"
"293","147114","147114","147114","1","1","1"
"294","147616","147616","147616","0.99998","0.99998","0.99998"
"295","148118","148118","148118","0.99998","0.99998","0.99998"
"297","149122","149122","149122","0.99998","0.99998","0.99998"
"298","149624","149624","149624","0.99998","0.99998","0.99998"
"299","150126","150126","150126","0.99998","0.99998","0.99998"
"301","151130","151130","151130","0.9999600000000001","0.9999600000000001","0.9999600000000001"
