"Epoch","fast-tree-19 - _step","fast-tree-19 - _step__MIN","fast-tree-19 - _step__MAX","fast-tree-19 - Train accuracy","fast-tree-19 - Train accuracy__MIN","fast-tree-19 - Train accuracy__MAX"
"258","129540","129540","129540","0.9998600000000001","0.9998600000000001","0.9998600000000001"
"259","130042","130042","130042","0.9994400000000001","0.9994400000000001","0.9994400000000001"
"260","130544","130544","130544","0.9996","0.9996","0.9996"
"261","131046","131046","131046","0.99994","0.99994","0.99994"
"262","131549","131549","131549","0.9998800000000001","0.9998800000000001","0.9998800000000001"
"263","132051","132051","132051","0.99982","0.99982","0.99982"
"265","133055","133055","133055","0.9997999999999999","0.9997999999999999","0.9997999999999999"
"266","133557","133557","133557","0.9997","0.9997","0.9997"
"268","134561","134561","134561","0.9998","0.9998","0.9998"
"269","135063","135063","135063","0.9996600000000001","0.9996600000000001","0.9996600000000001"
"270","135565","135565","135565","0.9997999999999999","0.9997999999999999","0.9997999999999999"
"271","136067","136067","136067","0.99984","0.99984","0.99984"
"272","136570","136570","136570","0.9998600000000001","0.9998600000000001","0.9998600000000001"
"273","137072","137072","137072","0.9998800000000001","0.9998800000000001","0.9998800000000001"
"274","137574","137574","137574","0.99994","0.99994","0.99994"
"276","138578","138578","138578","0.9998","0.9998","0.9998"
"277","139080","139080","139080","0.99992","0.99992","0.99992"
"278","139582","139582","139582","0.99994","0.99994","0.99994"
"279","140084","140084","140084","0.99998","0.99998","0.99998"
"280","140586","140586","140586","0.99994","0.99994","0.99994"
"281","141088","141088","141088","0.99994","0.99994","0.99994"
"282","141591","141591","141591","0.9999600000000001","0.9999600000000001","0.9999600000000001"
"283","142093","142093","142093","1","1","1"
"284","142595","142595","142595","0.99992","0.99992","0.99992"
"285","143097","143097","143097","0.99994","0.99994","0.99994"
"286","143599","143599","143599","0.99998","0.99998","0.99998"
"287","144101","144101","144101","0.99994","0.99994","0.99994"
"289","145105","145105","145105","0.99998","0.99998","0.99998"
"290","145607","145607","145607","0.99998","0.99998","0.99998"
"291","146109","146109","146109","0.99994","0.99994","0.99994"
"292","146612","146612","146612","0.99994","0.99994","0.99994"
"294","147616","147616","147616","1","1","1"
"296","148620","148620","148620","1","1","1"
"297","149122","149122","149122","0.99994","0.99994","0.99994"
"299","150126","150126","150126","0.99994","0.99994","0.99994"
"300","150628","150628","150628","0.99994","0.99994","0.99994"
"301","151130","151130","151130","1","1","1"
